EmployeeNumber,JobRole,JobLevel,Education,EducationField,Education Label
1665,Manager,4,5,Medical,Doctor
1666,Research Director,4,2,Life Sciences,College
1667,Sales Executive,2,4,Other,Master
1668,Research Scientist,2,3,Life Sciences,Bachelor
1669,Sales Executive,2,3,Medical,Bachelor
1670,Sales Executive,2,4,Medical,Master
1671,Research Scientist,2,3,Medical,Bachelor
1673,Sales Executive,2,4,Life Sciences,Master
1674,Laboratory Technician,1,3,Medical,Bachelor
1675,Laboratory Technician,1,3,Medical,Bachelor
1676,Manager,4,4,Life Sciences,Master
1677,Manager,4,3,Life Sciences,Bachelor
1678,Sales Executive,3,2,Life Sciences,College
1680,Sales Representative,1,1,Life Sciences,Below College
1681,Sales Executive,2,3,Life Sciences,Bachelor
1682,Healthcare Representative,2,4,Life Sciences,Master
1683,Human Resources,1,3,Life Sciences,Bachelor
1684,Laboratory Technician,1,1,Medical,Below College
1687,Laboratory Technician,1,2,Medical,College
1689,Healthcare Representative,3,4,Medical,Master
1691,Sales Representative,1,2,Medical,College
1692,Laboratory Technician,1,4,Life Sciences,Master
1693,Laboratory Technician,1,3,Medical,Bachelor
1694,Research Scientist,1,3,Technical Degree,Bachelor
1696,Laboratory Technician,2,2,Medical,College
1697,Healthcare Representative,3,4,Medical,Master
1698,Laboratory Technician,1,3,Medical,Bachelor
1700,Sales Executive,2,4,Medical,Master
1701,Research Scientist,1,3,Life Sciences,Bachelor
1702,Sales Representative,1,3,Life Sciences,Bachelor
1703,Healthcare Representative,3,3,Life Sciences,Bachelor
1704,Research Scientist,1,4,Medical,Master
1706,Sales Executive,2,3,Medical,Bachelor
1707,Research Scientist,1,3,Medical,Bachelor
1708,Sales Executive,3,3,Marketing,Bachelor
1709,Laboratory Technician,1,4,Medical,Master
1710,Sales Representative,2,4,Life Sciences,Master
1712,Healthcare Representative,3,1,Life Sciences,Below College
1714,Human Resources,1,1,Human Resources,Below College
1716,Sales Executive,4,3,Life Sciences,Bachelor
1718,Laboratory Technician,1,4,Medical,Master
1719,Research Director,4,2,Technical Degree,College
1720,Research Scientist,1,3,Life Sciences,Bachelor
1721,Laboratory Technician,1,4,Life Sciences,Master
1722,Human Resources,2,3,Human Resources,Bachelor
1724,Manufacturing Director,2,2,Life Sciences,College
1725,Laboratory Technician,1,1,Medical,Below College
1727,Healthcare Representative,2,4,Life Sciences,Master
1728,Manufacturing Director,2,4,Life Sciences,Master
1729,Research Scientist,1,1,Life Sciences,Below College
1731,Sales Executive,2,4,Marketing,Master
1732,Sales Executive,3,3,Life Sciences,Bachelor
1733,Sales Executive,2,5,Marketing,Doctor
1734,Sales Executive,2,2,Life Sciences,College
1735,Laboratory Technician,1,1,Medical,Below College
1736,Manufacturing Director,2,1,Technical Degree,Below College
1737,Laboratory Technician,2,3,Life Sciences,Bachelor
1739,Sales Executive,3,3,Life Sciences,Bachelor
1740,Manager,5,4,Medical,Master
1744,Human Resources,3,3,Life Sciences,Bachelor
1745,Research Scientist,1,4,Technical Degree,Master
1746,Human Resources,1,3,Medical,Bachelor
1747,Human Resources,1,3,Human Resources,Bachelor
1749,Sales Executive,2,3,Technical Degree,Bachelor
1751,Research Scientist,1,3,Medical,Bachelor
1752,Sales Representative,1,3,Marketing,Bachelor
1753,Healthcare Representative,2,3,Life Sciences,Bachelor
1754,Sales Executive,3,2,Marketing,College
1755,Research Scientist,1,4,Medical,Master
1756,Sales Executive,2,3,Marketing,Bachelor
1757,Sales Executive,2,4,Marketing,Master
1758,Sales Executive,3,3,Life Sciences,Bachelor
1760,Laboratory Technician,1,2,Medical,College
1761,Sales Executive,3,4,Marketing,Master
1762,Research Scientist,1,3,Technical Degree,Bachelor
1763,Healthcare Representative,2,3,Life Sciences,Bachelor
1764,Research Scientist,1,4,Technical Degree,Master
1766,Healthcare Representative,2,3,Medical,Bachelor
1767,Research Scientist,1,3,Technical Degree,Bachelor
1768,Laboratory Technician,1,3,Medical,Bachelor
1770,Research Director,5,3,Medical,Bachelor
1771,Research Scientist,2,3,Technical Degree,Bachelor
1772,Laboratory Technician,1,4,Life Sciences,Master
1774,Sales Executive,2,3,Life Sciences,Bachelor
1775,Manufacturing Director,4,4,Medical,Master
1778,Human Resources,1,3,Life Sciences,Bachelor
1779,Sales Executive,2,2,Life Sciences,College
1780,Sales Representative,1,1,Marketing,Below College
1782,Laboratory Technician,1,2,Other,College
1783,Laboratory Technician,1,1,Medical,Below College
1784,Sales Executive,2,4,Marketing,Master
1786,Manager,3,3,Technical Degree,Bachelor
1787,Sales Executive,2,2,Marketing,College
1789,Research Director,5,4,Medical,Master
1790,Healthcare Representative,3,3,Life Sciences,Bachelor
1792,Research Scientist,1,2,Medical,College
1794,Human Resources,2,2,Other,College
1797,Sales Executive,2,3,Life Sciences,Bachelor
1798,Research Scientist,1,4,Life Sciences,Master
1799,Research Scientist,1,3,Life Sciences,Bachelor
1800,Research Director,3,1,Medical,Below College
1801,Sales Executive,2,2,Life Sciences,College
1802,Laboratory Technician,1,2,Life Sciences,College
1803,Healthcare Representative,2,3,Medical,Bachelor
1804,Manufacturing Director,2,2,Medical,College
1805,Human Resources,1,3,Human Resources,Bachelor
1807,Laboratory Technician,2,4,Life Sciences,Master
1809,Manufacturing Director,2,4,Medical,Master
1812,Sales Executive,2,3,Life Sciences,Bachelor
1813,Research Scientist,1,3,Life Sciences,Bachelor
1814,Healthcare Representative,2,3,Life Sciences,Bachelor
1815,Sales Executive,3,1,Marketing,Below College
1816,Manufacturing Director,3,3,Medical,Bachelor
1818,Human Resources,1,2,Medical,College
1821,Healthcare Representative,2,2,Medical,College
1822,Healthcare Representative,2,3,Life Sciences,Bachelor
1823,Sales Executive,2,2,Technical Degree,College
1824,Manager,4,3,Medical,Bachelor
1826,Laboratory Technician,1,4,Medical,Master
1827,Manufacturing Director,3,3,Life Sciences,Bachelor
1829,Healthcare Representative,2,3,Life Sciences,Bachelor
1830,Research Scientist,2,4,Medical,Master
1833,Sales Executive,3,4,Marketing,Master
1834,Research Scientist,1,3,Medical,Bachelor
1835,Sales Representative,2,4,Marketing,Master
1836,Sales Executive,2,3,Medical,Bachelor
1837,Research Director,4,4,Life Sciences,Master
1839,Research Scientist,1,3,Medical,Bachelor
1842,Human Resources,1,5,Human Resources,Doctor
1844,Human Resources,1,3,Human Resources,Bachelor
1845,Sales Executive,2,4,Life Sciences,Master
1847,Research Scientist,2,4,Other,Master
1849,Sales Executive,2,4,Life Sciences,Master
1850,Laboratory Technician,1,2,Life Sciences,College
1852,Laboratory Technician,1,1,Medical,Below College
1853,Sales Executive,2,4,Marketing,Master
1854,Research Scientist,1,4,Technical Degree,Master
1856,Laboratory Technician,1,4,Life Sciences,Master
1857,Manufacturing Director,3,2,Life Sciences,College
1858,Human Resources,1,2,Life Sciences,College
1859,Healthcare Representative,2,1,Life Sciences,Below College
1860,Laboratory Technician,1,3,Life Sciences,Bachelor
1862,Sales Executive,2,4,Marketing,Master
1863,Sales Executive,4,3,Technical Degree,Bachelor
1864,Sales Representative,2,1,Medical,Below College
1865,Human Resources,1,1,Medical,Below College
1866,Manager,5,3,Medical,Bachelor
1867,Research Director,5,3,Life Sciences,Bachelor
1868,Research Scientist,1,2,Life Sciences,College
1869,Sales Executive,3,3,Life Sciences,Bachelor
1870,Research Scientist,1,3,Life Sciences,Bachelor
1871,Research Scientist,2,4,Other,Master
1873,Research Scientist,1,4,Technical Degree,Master
1875,Sales Representative,1,3,Medical,Bachelor
1876,Sales Representative,1,3,Medical,Bachelor
1878,Research Scientist,1,1,Life Sciences,Below College
1880,Sales Executive,2,4,Technical Degree,Master
1881,Laboratory Technician,2,3,Life Sciences,Bachelor
1882,Sales Executive,3,3,Life Sciences,Bachelor
1883,Laboratory Technician,1,3,Life Sciences,Bachelor
1885,Research Scientist,2,4,Medical,Master
1886,Manufacturing Director,2,2,Other,College
1888,Manufacturing Director,2,2,Life Sciences,College
1890,Human Resources,2,1,Human Resources,Below College
1892,Manager,4,4,Life Sciences,Master
1893,Research Scientist,1,2,Life Sciences,College
1898,Sales Executive,2,2,Medical,College
1900,Manager,4,3,Medical,Bachelor
1903,Healthcare Representative,2,4,Life Sciences,Master
1905,Research Scientist,1,4,Technical Degree,Master
1907,Laboratory Technician,1,2,Life Sciences,College
1908,Sales Executive,2,2,Marketing,College
1909,Sales Executive,2,3,Marketing,Bachelor
1911,Research Director,3,3,Medical,Bachelor
1912,Sales Executive,2,2,Medical,College
1915,Sales Executive,2,1,Medical,Below College
1916,Laboratory Technician,1,3,Medical,Bachelor
1918,Laboratory Technician,1,3,Other,Bachelor
1922,Healthcare Representative,2,4,Medical,Master
1924,Sales Executive,2,4,Marketing,Master
1927,Sales Executive,2,2,Life Sciences,College
1928,Sales Representative,1,3,Technical Degree,Bachelor
1929,Sales Executive,2,4,Life Sciences,Master
1931,Research Scientist,1,4,Technical Degree,Master
1932,Research Scientist,2,4,Other,Master
1933,Sales Executive,2,2,Marketing,College
1934,Research Scientist,2,4,Technical Degree,Master
1935,Sales Executive,2,5,Marketing,Doctor
1936,Manufacturing Director,2,2,Medical,College
1937,Research Scientist,2,3,Medical,Bachelor
1938,Manager,4,3,Life Sciences,Bachelor
1939,Research Scientist,1,2,Life Sciences,College
1940,Research Scientist,1,2,Life Sciences,College
1941,Research Director,5,1,Life Sciences,Below College
1943,Sales Executive,2,4,Marketing,Master
1944,Human Resources,1,3,Human Resources,Bachelor
1945,Sales Executive,2,4,Medical,Master
1947,Research Scientist,1,3,Medical,Bachelor
1948,Research Scientist,1,2,Medical,College
1949,Laboratory Technician,1,4,Life Sciences,Master
1950,Sales Executive,3,3,Marketing,Bachelor
1951,Sales Executive,3,4,Medical,Master
1952,Laboratory Technician,1,3,Medical,Bachelor
1954,Healthcare Representative,2,3,Life Sciences,Bachelor
1955,Healthcare Representative,2,4,Medical,Master
1956,Research Scientist,2,3,Life Sciences,Bachelor
1960,Laboratory Technician,1,3,Technical Degree,Bachelor
1961,Sales Representative,1,3,Life Sciences,Bachelor
1962,Sales Executive,2,4,Life Sciences,Master
1965,Sales Executive,2,3,Marketing,Bachelor
1966,Manufacturing Director,2,4,Life Sciences,Master
1967,Sales Executive,2,4,Marketing,Master
1968,Sales Executive,3,4,Life Sciences,Master
1969,Research Scientist,2,2,Life Sciences,College
1970,Healthcare Representative,2,2,Life Sciences,College
1971,Healthcare Representative,3,3,Life Sciences,Bachelor
1972,Human Resources,1,4,Other,Master
1973,Manager,5,4,Human Resources,Master
1974,Laboratory Technician,1,1,Medical,Below College
1975,Sales Executive,4,4,Marketing,Master
1976,Research Scientist,2,2,Life Sciences,College
1979,Research Director,3,3,Medical,Bachelor
1980,Manufacturing Director,2,3,Medical,Bachelor
1981,Healthcare Representative,2,2,Life Sciences,College
1982,Laboratory Technician,1,2,Other,College
1985,Laboratory Technician,2,3,Technical Degree,Bachelor
1986,Sales Executive,2,2,Marketing,College
1987,Human Resources,1,3,Human Resources,Bachelor
1989,Laboratory Technician,1,2,Medical,College
1992,Laboratory Technician,1,1,Other,Below College
1993,Healthcare Representative,3,3,Medical,Bachelor
1994,Laboratory Technician,1,2,Medical,College
1995,Sales Executive,2,4,Life Sciences,Master
1996,Sales Representative,1,2,Life Sciences,College
1997,Manufacturing Director,2,4,Life Sciences,Master
1998,Research Scientist,2,4,Life Sciences,Master
1999,Research Scientist,1,3,Life Sciences,Bachelor
2000,Research Director,3,1,Medical,Below College
2003,Laboratory Technician,1,4,Medical,Master
2007,Research Scientist,1,2,Life Sciences,College
2008,Research Scientist,2,4,Medical,Master
2009,Healthcare Representative,2,2,Medical,College
2010,Laboratory Technician,1,4,Life Sciences,Master
2012,Laboratory Technician,1,4,Life Sciences,Master
2013,Sales Representative,1,4,Medical,Master
2014,Research Scientist,2,1,Life Sciences,Below College
2015,Research Director,3,3,Medical,Bachelor
2016,Sales Executive,3,4,Marketing,Master
2017,Research Director,3,3,Life Sciences,Bachelor
2018,Sales Executive,2,2,Other,College
2019,Sales Representative,1,4,Life Sciences,Master
2020,Research Scientist,1,3,Medical,Bachelor
2021,Sales Representative,1,1,Medical,Below College
2022,Manager,5,3,Life Sciences,Bachelor
2023,Sales Representative,1,3,Marketing,Bachelor
2024,Sales Executive,3,3,Medical,Bachelor
2025,Manufacturing Director,2,2,Life Sciences,College
2026,Healthcare Representative,2,4,Life Sciences,Master
2027,Research Scientist,1,4,Medical,Master
2031,Manager,5,3,Life Sciences,Bachelor
2032,Laboratory Technician,1,2,Technical Degree,College
2034,Manufacturing Director,4,4,Life Sciences,Master
2035,Sales Executive,2,3,Marketing,Bachelor
2036,Sales Executive,2,4,Marketing,Master
2037,Sales Executive,2,3,Life Sciences,Bachelor
2038,Research Scientist,1,3,Technical Degree,Bachelor
2040,Human Resources,3,4,Life Sciences,Master
2041,Sales Executive,2,2,Life Sciences,College
2044,Sales Executive,2,4,Life Sciences,Master
2045,Sales Executive,2,4,Marketing,Master
2046,Sales Executive,2,3,Life Sciences,Bachelor
2048,Research Scientist,1,4,Life Sciences,Master
2049,Healthcare Representative,2,4,Life Sciences,Master
2051,Research Scientist,1,4,Medical,Master
2052,Research Scientist,1,4,Life Sciences,Master
2053,Laboratory Technician,2,2,Other,College
2054,Research Scientist,1,4,Medical,Master
2055,Sales Executive,3,3,Marketing,Bachelor
2056,Sales Executive,4,1,Marketing,Below College
2057,Manufacturing Director,2,3,Medical,Bachelor
2060,Sales Representative,1,3,Other,Bachelor
2061,Laboratory Technician,2,2,Medical,College
2062,Healthcare Representative,3,1,Medical,Below College
2064,Manufacturing Director,2,3,Life Sciences,Bachelor
2065,Sales Executive,2,3,Medical,Bachelor
2068,Laboratory Technician,2,3,Medical,Bachelor
